#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
129,MTORC1,Protein complex,,"P42345,Q8N122,Q9BVC4,Q96B36",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MTORC1pf_nucPCC,,,MTORC1pf_cytoPCC,D,"MTORINHTMext_cytoPCC,MTORINHTMext_cytoPCC","N/A,N/A"
130,MYC,Protein,,P01106,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MYCpn_nucPCC,,,{ERKpf_nucPCC}[MYCrna_nucPCC],"D,D",,
131,MYC,mRNA,,P01106,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MYCrna_nucPCC,,,MYCgene_nucPCC,D,,
132,MYC,gene,,P01106,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MYCgene_nucPCC,,,ERKpf_nucPCC,D,ARFpn_nucPCC,D
133,NFKB,Protein complex,"1,2,p65,relA,B","P19838,Q00653,Q04206,Q01201,Q04864",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,NFKBpf_cytoPCC,,,"TNFAR_ACTpn_memPCC,IL1R1_ACTpf_memPCC,PKCApf_cytoPCC,AKTpf_cytoPCC","I,D,I,I",,
134,NFKB,Protein complex,,"P19838,Q00653,Q04206,Q01201,Q04864",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,NFKBpf_nucPCC,,,NFKBpf_cytoPCC,D,,
135,NFKB,Protein complex,,"P19838,Q00653,Q04206,Q01201,Q04864",,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,NFKBpf_cytoMAC,,,,,,
136,NFKB,Protein complex,,"P19838,Q00653,Q04206,Q01201,Q04864",,Macrophage,Human,Immune system,nucleus,GO:0005634,,,NFKBpf_nucMAC,,,,,,
137,NOX,Protein family,"1,3,4,5","Q9Y5S8,Q9HBY0,Q9NPH5,Q96PH1",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,NOXpf_memPCC,,,"RAC1pn_cytoPCC,TNFAR_ACTpn_memPCC,IFNGR_ACTpf_memPCC","D,D,D",,
138,NRF2,Protein,,Q16236,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,NRF2pn_cytoPCC,,,ROScf_cytoPCC,D,,
139,NRF2,Protein,,Q16236,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,NRF2pn_nucPCC,,,NRF2pn_cytoPCC,D,,
140,P21,Protein,,P38936,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P21pn_nucPCC,,,{CDN2Apf_nucPCC}[P21rna_nucPCC],"D,D","EXP21pn_nucPCC,EXP21pn_nucPCC","D,D"
141,P21,mRNA,,P38936,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P21rna_nucPCC,,,P21gene_nucPCC,D,"EXP21pn_nucPCC,EXP21pn_nucPCC","D,D"
